fiscal_year,state,district,survey,headcount_ratio,intensity,mpi,unit,note
2019-21,Karnataka,Bellary (Ballari),NFHS-5,12.22,42.66,0.052,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Bidar,NFHS-5,11.25,40,0.045,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Bijapur (Vijayapura),NFHS-5,16.3,41.71,0.068,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Chamarajanagara,NFHS-5,5.15,40.83,0.021,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Chikkaballapura,NFHS-5,3.39,39.89,0.014,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Chikmagalur,NFHS-5,3.74,39.8,0.015,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Chitradurga,NFHS-5,5.84,39.23,0.023,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Dakshina Kannada,NFHS-5,1.71,36.72,0.006,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Davangere,NFHS-5,5.95,38.68,0.023,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Dharwad,NFHS-5,5.71,39.07,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Gadag,NFHS-5,15.32,40.64,0.062,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Gulbarga (Kalaburagi),NFHS-5,18.63,40.44,0.075,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Hassan,NFHS-5,2.43,38.76,0.009,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Haveri,NFHS-5,11.38,39.19,0.045,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Kodagu,NFHS-5,4.67,39.01,0.018,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Kolar,NFHS-5,1.78,39.11,0.007,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Koppal,NFHS-5,18.04,43.35,0.078,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Mandya,NFHS-5,2.47,35.55,0.009,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Mysuru,NFHS-5,2.3,36.82,0.008,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Raichur,NFHS-5,20.19,44.61,0.09,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Ramanagara,NFHS-5,0.88,40.51,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Shivamogga,NFHS-5,3.39,38.41,0.013,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Tumakuru,NFHS-5,4.69,37.28,0.017,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Udupi,NFHS-5,4.13,36.51,0.015,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Uttara Kannada,NFHS-5,4.59,40.29,0.018,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Yadgir,NFHS-5,25.38,45.59,0.116,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Agar Malwa,NFHS-5,15.01,41.35,0.062,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Alirajpur,NFHS-5,40.25,47.77,0.192,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Anuppur,NFHS-5,20.04,40.76,0.082,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Ashoknagar,NFHS-5,27.29,43.62,0.119,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Balaghat,NFHS-5,13.59,40.79,0.055,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Barwani,NFHS-5,33.52,49.74,0.167,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Betul,NFHS-5,21.18,43.71,0.093,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Bhind,NFHS-5,17.61,43.1,0.076,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Bhopal,NFHS-5,6.75,46.36,0.031,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Burhanpur,NFHS-5,18.6,46.4,0.086,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Chhatarpur,NFHS-5,27.23,42.71,0.116,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Chhindwara,NFHS-5,14.37,41.75,0.06,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Damoh,NFHS-5,27.39,43.72,0.12,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Datia,NFHS-5,15.45,41.89,0.065,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Dewas,NFHS-5,12.9,42.16,0.054,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Dhar,NFHS-5,18.31,42.3,0.077,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Dindori,NFHS-5,34.57,41.92,0.145,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Guna,NFHS-5,23.09,45.53,0.105,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Gwalior,NFHS-5,9.75,42.43,0.041,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Harda,NFHS-5,12.92,44.67,0.058,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Indore,NFHS-5,5.83,39.6,0.023,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Jabalpur,NFHS-5,14.78,38.68,0.057,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Jhabua,NFHS-5,49.62,48.91,0.243,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Katni,NFHS-5,21.84,41.47,0.091,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Khandwa (East Nimar),NFHS-5,15.15,44.27,0.067,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Khargone (West Nimar),NFHS-5,17.99,45.65,0.082,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Mandla,NFHS-5,28.28,42.1,0.119,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Mandsaur,NFHS-5,18.38,40.44,0.074,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Morena,NFHS-5,22.95,43.15,0.099,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Narmadapuram,NFHS-5,14.85,41.94,0.062,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Narsinghpur,NFHS-5,15.11,41.7,0.063,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Neemuch,NFHS-5,9.88,41.93,0.041,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Panna,NFHS-5,32.43,44.24,0.143,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Raisen,NFHS-5,13.78,41.62,0.057,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Rajgarh,NFHS-5,24.04,44.48,0.107,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Ratlam,NFHS-5,20.68,44.09,0.091,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Rewa,NFHS-5,28.88,46.1,0.133,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Sagar,NFHS-5,22.26,41.46,0.092,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Satna,NFHS-5,19.01,42.26,0.08,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Sehore,NFHS-5,12.28,40.12,0.049,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Seoni,NFHS-5,22.37,41.9,0.094,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Shahdol,NFHS-5,23.51,42.3,0.099,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Shajapur,NFHS-5,14.7,39.43,0.058,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Sheopur,NFHS-5,38,48.17,0.183,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Shivpuri,NFHS-5,27.92,44.97,0.126,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Sidhi,NFHS-5,33.07,43.87,0.145,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Singrauli,NFHS-5,31.32,46.06,0.144,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Tikamgarh,NFHS-5,21.19,42.17,0.089,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Ujjain,NFHS-5,14.38,42.29,0.061,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Umaria,NFHS-5,23.14,42.54,0.098,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Madhya Pradesh,Vidisha,NFHS-5,23.16,44.07,0.102,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Bishnupur,NFHS-5,6.91,42.98,0.03,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Chandel,NFHS-5,14.74,41.45,0.061,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Churachandpur,NFHS-5,15.35,42.49,0.065,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Imphal East,NFHS-5,5.19,42.35,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Imphal West,NFHS-5,2.12,38.63,0.008,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Senapati,NFHS-5,15.6,43.3,0.068,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Tamenglong,NFHS-5,18.5,44.2,0.082,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Thoubal,NFHS-5,7.46,39.86,0.03,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Manipur,Ukhrul,NFHS-5,17.87,42.12,0.075,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Mizoram,Aizawl,NFHS-5,0.87,42.85,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Mizoram,Champhai,NFHS-5,1.51,42.04,0.006,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Mizoram,Kolasib,NFHS-5,5.25,46.34,0.024,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Mizoram,Lawngtlai,NFHS-5,21.63,48.46,0.105,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Mizoram,Lunglei,NFHS-5,5.15,42.98,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Mizoram,Mamit,NFHS-5,9.29,44.55,0.041,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Mizoram,Saiha,NFHS-5,6.9,41.45,0.029,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Mizoram,Serchhip,NFHS-5,3.3,38.74,0.013,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Bokaro,NFHS-5,15.28,43.63,0.067,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Chatra,NFHS-5,37,47.78,0.177,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Deoghar,NFHS-5,37.04,47.68,0.177,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Dhanbad,NFHS-5,17.09,43.2,0.074,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Dumka,NFHS-5,37.98,46.75,0.178,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Garhwa,NFHS-5,35.84,44.55,0.16,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Giridih,NFHS-5,30.29,43.98,0.133,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Godda,NFHS-5,36.36,46.3,0.168,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Gumla,NFHS-5,30.76,44.44,0.137,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Hazaribagh,NFHS-5,26.1,42.16,0.11,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Jamtara,NFHS-5,28.97,44.58,0.129,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Khunti,NFHS-5,33.38,45.41,0.152,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Koderma,NFHS-5,28.21,42.73,0.121,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Latehar,NFHS-5,41.68,45.4,0.189,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Lohardaga,NFHS-5,22.71,43.49,0.099,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Pakur,NFHS-5,49.87,49.02,0.244,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Palamu,NFHS-5,32.34,44.57,0.144,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Pashchimi Singhbhum (West Singhbhum),NFHS-5,47.81,50.42,0.241,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Purbi Singhbhum (East Singhbum),NFHS-5,15.1,43.13,0.065,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Ramgarh,NFHS-5,18.06,42.46,0.077,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Ranchi,NFHS-5,15.8,41.23,0.065,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Sahebganj,NFHS-5,48.45,50.2,0.243,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Saraikela-Kharsawan,NFHS-5,23.16,44.34,0.103,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Jharkhand,Simdega,NFHS-5,31.41,44.22,0.139,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Alappuzha,NFHS-5,0.1,34.52,0,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Ernakulam,NFHS-5,0,,0,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Idukki,NFHS-5,1.11,39.29,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Kannur,NFHS-5,0.03,35.71,0,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Kasaragod,NFHS-5,1.7,37.88,0.006,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Kollam,NFHS-5,0.04,40.48,0,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Kottayam,NFHS-5,0.14,38.61,0.001,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Kozhikode,NFHS-5,0.68,35.66,0.002,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Malappuram,NFHS-5,0.85,34.7,0.003,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Palakkad,NFHS-5,1.34,36.76,0.005,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Pathanamthitta,NFHS-5,0.42,35.16,0.001,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Thiruvananthapuram,NFHS-5,0.52,37.51,0.002,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Thrissur,NFHS-5,0.03,35.71,0,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Kerala,Wayanad,NFHS-5,2.82,39.33,0.011,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Ahmednagar,NFHS-5,7.19,37.21,0.027,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Akola,NFHS-5,6.09,38.76,0.024,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Amravati,NFHS-5,8.22,39.89,0.033,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Aurangabad,NFHS-5,9.45,41.78,0.039,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Bhandara,NFHS-5,5.85,37.78,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Bid (Beed),NFHS-5,13.06,39.35,0.051,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Buldhana,NFHS-5,8.77,42.51,0.037,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Chandrapur,NFHS-5,5.7,41.78,0.024,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Dhule,NFHS-5,21.44,46.34,0.099,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Gadchiroli,NFHS-5,12.75,39.09,0.05,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Gondia,NFHS-5,8.49,38.21,0.032,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Hingoli,NFHS-5,12.26,39.32,0.048,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Jalgaon,NFHS-5,13.39,43.18,0.058,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Jalna,NFHS-5,14.12,41.85,0.059,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Kolhapur,NFHS-5,4.48,36.87,0.017,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Latur,NFHS-5,6.25,39.4,0.025,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Mumbai,NFHS-5,1.21,37.84,0.005,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Mumbai Suburban,NFHS-5,1.15,35.74,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Nagpur,NFHS-5,1.25,34.18,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Nanded,NFHS-5,12.33,41.18,0.051,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Nandurbar,NFHS-5,33.17,46.22,0.153,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Nashik,NFHS-5,13.46,42.06,0.057,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Osmanabad,NFHS-5,5.34,39.46,0.021,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Palghar,NFHS-5,13.3,46.91,0.062,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Parbhani,NFHS-5,14.92,41.08,0.061,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Pune,NFHS-5,2.92,40.05,0.012,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Raigad,NFHS-5,8.38,45.22,0.038,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Ratnagiri,NFHS-5,7.64,37.92,0.029,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Sangli,NFHS-5,2.14,38.39,0.008,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Satara,NFHS-5,4.73,40.84,0.019,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Sindhudurg,NFHS-5,5.59,37.63,0.021,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Solapur,NFHS-5,7.16,42.09,0.03,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Thane,NFHS-5,5.62,42.48,0.024,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Wardha,NFHS-5,2.39,40.95,0.01,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Washim,NFHS-5,14.54,41.68,0.061,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Maharashtra,Yavatmal,NFHS-5,10.48,41.42,0.043,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,East Garo Hills,NFHS-5,14.96,44.72,0.067,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,East Jaintia Hills,NFHS-5,43.79,50.2,0.22,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,East Khasi Hills,NFHS-5,24.1,46.34,0.112,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,North Garo Hills,NFHS-5,13.26,43.81,0.058,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,Ri Bhoi,NFHS-5,31.67,47.93,0.152,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,South Garo Hills,NFHS-5,9.77,41.69,0.041,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,South West Garo Hills,NFHS-5,18.27,44.4,0.081,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,South West Khasi Hills,NFHS-5,40.98,44.62,0.183,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,West Garo Hills,NFHS-5,8,42.28,0.034,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,West Jaintia Hills,NFHS-5,52.08,53.97,0.281,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Meghalaya,West Khasi Hills,NFHS-5,52.48,48.07,0.252,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Ariyalur,NFHS-5,3.53,38.9,0.014,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Chennai,NFHS-5,1.03,36.62,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Coimbatore,NFHS-5,0.96,37.14,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Cuddalore,NFHS-5,3.75,38.26,0.014,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Dharmapuri,NFHS-5,2.1,39.5,0.008,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Dindigul,NFHS-5,4.52,40.47,0.018,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Erode,NFHS-5,1.4,36.21,0.005,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Kanchipuram,NFHS-5,1.23,38.86,0.005,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Kanniyakumari,NFHS-5,0.67,36.53,0.002,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Karur,NFHS-5,3.11,37.61,0.012,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Krishnagiri,NFHS-5,2.19,40.66,0.009,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Madurai,NFHS-5,1.88,38.23,0.007,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Nagapattinam,NFHS-5,3.31,40.19,0.013,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Namakkal,NFHS-5,1.39,36.02,0.005,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Perambalur,NFHS-5,1.78,39.15,0.007,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Pudukkottai,NFHS-5,4.63,38.3,0.018,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Ramanathapuram,NFHS-5,2.47,37.37,0.009,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Salem,NFHS-5,1.94,38.6,0.007,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Sivaganga,NFHS-5,3.96,37.97,0.015,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Thanjavur,NFHS-5,2.45,40.21,0.01,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,The Nilgiris,NFHS-5,1.33,37.22,0.005,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Theni,NFHS-5,1.91,36.39,0.007,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Tamil Nadu,Thiruvallur,NFHS-5,1.18,38.64,0.005,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
