fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2021-22,2021,September,Odisha,GST collected from State,CGST,772.931379,amount in rupees crores,
2021-22,2021,September,Jharkhand,GST collected from State,CGST,349.1926631,amount in rupees crores,
2021-22,2021,September,West Bengal,GST collected from State,CGST,1126.1314978,amount in rupees crores,
2021-22,2021,September,Assam,GST collected from State,CGST,267.6028186,amount in rupees crores,
2021-22,2021,September,Meghalaya,GST collected from State,CGST,22.6249655,amount in rupees crores,
2021-22,2021,September,Puducherry,GST collected from State,SGST,31.3732262,amount in rupees crores,
2021-22,2021,September,Maharashtra,GST collected from State,IGST,5690.145592,amount in rupees crores,
2021-22,2021,September,Telangana,GST collected from State,SGST,1170.3403188,amount in rupees crores,
2021-22,2021,September,West Bengal,GST collected from State,CESS,231.66837,amount in rupees crores,
2021-22,2021,September,Meghalaya,GST collected from State,CESS,0.142781,amount in rupees crores,
2021-22,2021,September,Tripura,GST collected from State,CESS,0.1597479,amount in rupees crores,
2021-22,2021,September,Mizoram,GST collected from State,CESS,0.0536947,amount in rupees crores,
2021-22,2021,September,Manipur,GST collected from State,CESS,0.1216235,amount in rupees crores,
2021-22,2021,September,Nagaland,GST collected from State,CESS,0.4848749,amount in rupees crores,
2021-22,2021,September,Arunachal Pradesh,GST collected from State,CESS,0.0621763,amount in rupees crores,
2021-22,2021,September,Sikkim,GST collected from State,CESS,0.0051778,amount in rupees crores,
2021-22,2021,September,Bihar,GST collected from State,CESS,160.3572481,amount in rupees crores,
2021-22,2021,September,Uttar Pradesh,GST collected from State,CESS,1050.086472,amount in rupees crores,
2021-22,2021,September,Rajasthan,GST collected from State,CESS,161.0945377,amount in rupees crores,
2021-22,2021,September,Delhi,GST collected from State,CESS,87.7659114,amount in rupees crores,
2021-22,2021,September,Haryana,GST collected from State,CESS,404.6406531,amount in rupees crores,
2021-22,2021,September,Uttarakhand,GST collected from State,CESS,4.3317676,amount in rupees crores,
2021-22,2021,September,Chandigarh,GST collected from State,CESS,0.7169553,amount in rupees crores,
2021-22,2021,September,Punjab,GST collected from State,CESS,18.6616892,amount in rupees crores,
2021-22,2021,September,Himachal Pradesh,GST collected from State,CESS,1.0398162,amount in rupees crores,
2021-22,2021,September,Jammu and Kashmir,GST collected from State,CESS,6.7924369,amount in rupees crores,
2021-22,2021,September,Assam,GST collected from State,CESS,31.8378759,amount in rupees crores,
2021-22,2021,September,Jharkhand,GST collected from State,CESS,404.6738376,amount in rupees crores,
2021-22,2021,September,Andhra Pradesh,GST collected from State,SGST,849.0602038,amount in rupees crores,
2021-22,2021,September,Odisha,GST collected from State,CESS,626.8455515,amount in rupees crores,
2021-22,2021,September,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CESS,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2021-22,2021,September,Other Territory,GST collected from State,CESS,0.0010472,amount in rupees crores,state: Represents territories other than States/UTs
2021-22,2021,September,Ladakh,GST collected from State,CESS,0.0064244,amount in rupees crores,
2021-22,2021,September,Andhra Pradesh,GST collected from State,CESS,183.2174012,amount in rupees crores,
2021-22,2021,September,Telangana,GST collected from State,CESS,478.4761394,amount in rupees crores,
2021-22,2021,September,Andaman and Nicobar Islands,GST collected from State,CESS,0.0169377,amount in rupees crores,
2021-22,2021,September,Puducherry,GST collected from State,CESS,0.4455862,amount in rupees crores,
2021-22,2021,September,Tamil Nadu,GST collected from State,CESS,765.851628,amount in rupees crores,
2021-22,2021,September,Kerala,GST collected from State,CESS,3.6493371,amount in rupees crores,
2021-22,2021,September,Lakshadweep,GST collected from State,CESS,0.0,amount in rupees crores,
2021-22,2021,September,Goa,GST collected from State,CESS,1.3629986,amount in rupees crores,
2021-22,2021,September,Karnataka,GST collected from State,CESS,959.8868294,amount in rupees crores,
2021-22,2021,September,Maharashtra,GST collected from State,CESS,1114.0429984,amount in rupees crores,
2021-22,2021,September,Dadra and Nagar Haveli,GST collected from State,CESS,0.1480496,amount in rupees crores,
2021-22,2021,September,Daman and Diu,GST collected from State,CESS,0.0,amount in rupees crores,
2021-22,2021,September,Gujarat,GST collected from State,CESS,511.3291815,amount in rupees crores,
2021-22,2021,September,Madhya Pradesh,GST collected from State,CESS,459.531345,amount in rupees crores,
2021-22,2021,September,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,IGST,191.3397196,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2021-22,2021,September,Other Territory,GST collected from State,IGST,114.5476217,amount in rupees crores,state: Represents territories other than States/UTs
2021-22,2021,September,Ladakh,GST collected from State,IGST,3.2061888,amount in rupees crores,
2021-22,2021,September,Andhra Pradesh,GST collected from State,IGST,943.1469427,amount in rupees crores,
2021-22,2021,September,Manipur,GST collected from State,IGST,3.3158124,amount in rupees crores,
2021-22,2021,September,Nagaland,GST collected from State,IGST,6.6539466,amount in rupees crores,
2021-22,2021,September,Arunachal Pradesh,GST collected from State,IGST,11.154815,amount in rupees crores,
2021-22,2021,September,Sikkim,GST collected from State,IGST,224.9738862,amount in rupees crores,
2021-22,2021,September,Bihar,GST collected from State,IGST,126.8857269,amount in rupees crores,
2021-22,2021,September,Uttar Pradesh,GST collected from State,IGST,1524.4747278,amount in rupees crores,
2021-22,2021,September,Rajasthan,GST collected from State,IGST,1070.8918469,amount in rupees crores,
2021-22,2021,September,Delhi,GST collected from State,IGST,1972.2356306,amount in rupees crores,
2021-22,2021,September,Haryana,GST collected from State,IGST,3078.6763555,amount in rupees crores,
2021-22,2021,September,Uttarakhand,GST collected from State,IGST,626.1298361,amount in rupees crores,
2021-22,2021,September,Chandigarh,GST collected from State,IGST,84.0786485,amount in rupees crores,
2021-22,2021,September,Punjab,GST collected from State,IGST,526.2375127,amount in rupees crores,
2021-22,2021,September,Himachal Pradesh,GST collected from State,IGST,413.3217268,amount in rupees crores,
2021-22,2021,September,Jammu and Kashmir,GST collected from State,IGST,101.0828144,amount in rupees crores,
2021-22,2021,September,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,SGST,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2021-22,2021,September,Other Territory,GST collected from State,SGST,9.4059362,amount in rupees crores,state: Represents territories other than States/UTs
2021-22,2021,September,Ladakh,GST collected from State,SGST,6.8111153,amount in rupees crores,
2021-22,2021,September,Mizoram,GST collected from State,IGST,1.1125749,amount in rupees crores,
2021-22,2021,September,Tripura,GST collected from State,IGST,5.6389247,amount in rupees crores,
2021-22,2021,September,Meghalaya,GST collected from State,IGST,67.5327505,amount in rupees crores,
2021-22,2021,September,Karnataka,GST collected from State,IGST,2712.0429741,amount in rupees crores,
2021-22,2021,September,Telangana,GST collected from State,IGST,967.7567967,amount in rupees crores,
2021-22,2021,September,Andaman and Nicobar Islands,GST collected from State,IGST,2.1125649,amount in rupees crores,
2021-22,2021,September,Puducherry,GST collected from State,IGST,109.6203191,amount in rupees crores,
2021-22,2021,September,Tamil Nadu,GST collected from State,IGST,2568.1723174,amount in rupees crores,
2021-22,2021,September,Kerala,GST collected from State,IGST,339.6474529,amount in rupees crores,
2021-22,2021,September,Lakshadweep,GST collected from State,IGST,0.0249854,amount in rupees crores,
2021-22,2021,September,Goa,GST collected from State,IGST,145.6406989,amount in rupees crores,
2021-22,2021,September,Dadra and Nagar Haveli,GST collected from State,IGST,221.7052148,amount in rupees crores,
2021-22,2021,September,Assam,GST collected from State,IGST,321.5667511,amount in rupees crores,
2021-22,2021,September,Daman and Diu,GST collected from State,IGST,0.0516693,amount in rupees crores,
2021-22,2021,September,Gujarat,GST collected from State,IGST,2732.3390306,amount in rupees crores,
2021-22,2021,September,Madhya Pradesh,GST collected from State,IGST,678.5677866,amount in rupees crores,
2021-22,2021,September,Chhattisgarh,GST collected from State,IGST,756.6264415,amount in rupees crores,
2021-22,2021,September,Odisha,GST collected from State,IGST,996.4829662,amount in rupees crores,
2021-22,2021,September,Jharkhand,GST collected from State,IGST,1009.5181591,amount in rupees crores,
2021-22,2021,September,West Bengal,GST collected from State,IGST,1007.6444446,amount in rupees crores,
2021-22,2021,September,Chhattisgarh,GST collected from State,CESS,461.5771547,amount in rupees crores,
2021-22,2021,August,Jammu and Kashmir,GST collected from State,SGST,154.2935074,amount in rupees crores,
2021-22,2021,August,All India,GST collected from State,CESS,8000.2206788,amount in rupees crores,
2021-22,2021,August,Chandigarh,GST collected from State,SGST,38.4019824,amount in rupees crores,
2021-22,2021,August,Chhattisgarh,GST collected from State,SGST,536.6280798,amount in rupees crores,
2021-22,2021,August,Odisha,GST collected from State,SGST,956.4717964,amount in rupees crores,
2021-22,2021,August,Jharkhand,GST collected from State,SGST,492.9174282,amount in rupees crores,
2021-22,2021,August,West Bengal,GST collected from State,SGST,1396.3475968,amount in rupees crores,
2021-22,2021,August,Assam,GST collected from State,SGST,338.0158859,amount in rupees crores,
2021-22,2021,August,Meghalaya,GST collected from State,SGST,27.5996564,amount in rupees crores,
2021-22,2021,August,Tripura,GST collected from State,SGST,27.6544739,amount in rupees crores,
2021-22,2021,August,Mizoram,GST collected from State,SGST,8.0496038,amount in rupees crores,
2021-22,2021,August,Manipur,GST collected from State,SGST,23.2022068,amount in rupees crores,
2021-22,2021,August,Nagaland,GST collected from State,SGST,14.7079882,amount in rupees crores,
2021-22,2021,August,Arunachal Pradesh,GST collected from State,SGST,23.7235394,amount in rupees crores,
2021-22,2021,August,Sikkim,GST collected from State,SGST,16.2257863,amount in rupees crores,
2021-22,2021,August,Bihar,GST collected from State,SGST,478.6689544,amount in rupees crores,
2021-22,2021,August,Uttar Pradesh,GST collected from State,SGST,1903.5366992,amount in rupees crores,
2021-22,2021,August,Rajasthan,GST collected from State,SGST,1029.3103282,amount in rupees crores,
2021-22,2021,August,Delhi,GST collected from State,SGST,876.0092163,amount in rupees crores,
2021-22,2021,August,Haryana,GST collected from State,SGST,1287.0565763,amount in rupees crores,
2021-22,2021,August,Madhya Pradesh,GST collected from State,SGST,767.3083361,amount in rupees crores,
2021-22,2021,August,Gujarat,GST collected from State,SGST,2499.9486199,amount in rupees crores,
2021-22,2021,August,Daman and Diu,GST collected from State,SGST,0.098096,amount in rupees crores,
2021-22,2021,August,Telangana,GST collected from State,SGST,1123.0881496,amount in rupees crores,
2021-22,2021,August,Punjab,GST collected from State,IGST,502.9374677,amount in rupees crores,
2021-22,2021,August,Himachal Pradesh,GST collected from State,IGST,414.1567674,amount in rupees crores,
2021-22,2021,August,Jammu and Kashmir,GST collected from State,IGST,126.3436918,amount in rupees crores,
2021-22,2021,August,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,SGST,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2021-22,2021,August,Other Territory,GST collected from State,SGST,6.566371,amount in rupees crores,state: Represents territories other than States/UTs
2021-22,2021,August,Ladakh,GST collected from State,SGST,6.0456295,amount in rupees crores,
2021-22,2021,August,Andhra Pradesh,GST collected from State,SGST,867.8272634,amount in rupees crores,
2021-22,2021,August,Andaman and Nicobar Islands,GST collected from State,SGST,10.5194531,amount in rupees crores,
2021-22,2021,August,Dadra and Nagar Haveli,GST collected from State,SGST,40.2597576,amount in rupees crores,
2021-22,2021,August,Puducherry,GST collected from State,SGST,30.9316976,amount in rupees crores,
2021-22,2021,August,Tamil Nadu,GST collected from State,SGST,2460.3043654,amount in rupees crores,
2021-22,2021,August,Kerala,GST collected from State,SGST,710.6898214,amount in rupees crores,
2021-22,2021,August,Lakshadweep,GST collected from State,SGST,0.6537915,amount in rupees crores,
2021-22,2021,August,Goa,GST collected from State,SGST,92.3722657,amount in rupees crores,
2021-22,2021,August,Karnataka,GST collected from State,SGST,2284.4745264,amount in rupees crores,
2021-22,2021,August,Maharashtra,GST collected from State,SGST,5068.3126023,amount in rupees crores,
2021-22,2021,August,Uttarakhand,GST collected from State,SGST,303.1724035,amount in rupees crores,
2021-22,2021,August,Punjab,GST collected from State,SGST,529.7583695,amount in rupees crores,
2021-22,2021,August,Uttarakhand,GST collected from State,IGST,566.184655,amount in rupees crores,
2021-22,2021,August,Jammu and Kashmir,GST collected from State,CGST,102.6225976,amount in rupees crores,
2021-22,2021,August,Chhattisgarh,GST collected from State,CGST,455.5551133,amount in rupees crores,
2021-22,2021,August,Madhya Pradesh,GST collected from State,CGST,578.8690769,amount in rupees crores,
2021-22,2021,August,Gujarat,GST collected from State,CGST,2000.885398,amount in rupees crores,
2021-22,2021,August,Daman and Diu,GST collected from State,CGST,0.1085672,amount in rupees crores,
2021-22,2021,August,Dadra and Nagar Haveli,GST collected from State,CGST,29.2846275,amount in rupees crores,
2021-22,2021,August,Maharashtra,GST collected from State,CGST,4114.7927943,amount in rupees crores,
2021-22,2021,August,Karnataka,GST collected from State,CGST,1789.7076003,amount in rupees crores,
2021-22,2021,August,Goa,GST collected from State,CGST,63.2793029,amount in rupees crores,
2021-22,2021,August,Lakshadweep,GST collected from State,CGST,0.6032901,amount in rupees crores,
2021-22,2021,August,Kerala,GST collected from State,CGST,494.285886,amount in rupees crores,
2021-22,2021,August,Tamil Nadu,GST collected from State,CGST,1857.1362331,amount in rupees crores,
2021-22,2021,August,Puducherry,GST collected from State,CGST,17.4883752,amount in rupees crores,
2021-22,2021,August,Andaman and Nicobar Islands,GST collected from State,CGST,7.7005061,amount in rupees crores,
2021-22,2021,August,Telangana,GST collected from State,CGST,855.5244191,amount in rupees crores,
2021-22,2021,August,Andhra Pradesh,GST collected from State,CGST,626.6141004,amount in rupees crores,
2021-22,2021,August,Ladakh,GST collected from State,CGST,4.7329232,amount in rupees crores,
2021-22,2021,August,Other Territory,GST collected from State,CGST,5.8840914,amount in rupees crores,state: Represents territories other than States/UTs
2021-22,2021,August,Odisha,GST collected from State,CGST,792.9298645,amount in rupees crores,
2021-22,2021,August,Jharkhand,GST collected from State,CGST,377.7035683,amount in rupees crores,
2021-22,2021,August,West Bengal,GST collected from State,CGST,1118.6101126,amount in rupees crores,
2021-22,2021,August,Himachal Pradesh,GST collected from State,SGST,173.9890497,amount in rupees crores,
2021-22,2021,August,Himachal Pradesh,GST collected from State,CGST,115.2297775,amount in rupees crores,
2021-22,2021,August,Punjab,GST collected from State,CGST,363.1658115,amount in rupees crores,
2021-22,2021,August,Chandigarh,GST collected from State,CGST,27.8288395,amount in rupees crores,
2021-22,2021,August,Uttarakhand,GST collected from State,CGST,213.2925325,amount in rupees crores,
2021-22,2021,August,Haryana,GST collected from State,CGST,941.229881,amount in rupees crores,
2021-22,2021,August,Delhi,GST collected from State,CGST,721.3878008,amount in rupees crores,
2021-22,2021,August,Rajasthan,GST collected from State,CGST,797.7082434,amount in rupees crores,
2021-22,2021,August,Bihar,GST collected from State,CGST,287.832304,amount in rupees crores,
2021-22,2021,August,Assam,GST collected from State,CGST,273.3173989,amount in rupees crores,
2021-22,2021,August,Sikkim,GST collected from State,CGST,12.5695294,amount in rupees crores,
2021-22,2021,August,Arunachal Pradesh,GST collected from State,CGST,19.6022827,amount in rupees crores,
2021-22,2021,August,Nagaland,GST collected from State,CGST,11.3109343,amount in rupees crores,
2021-22,2021,August,Manipur,GST collected from State,CGST,15.8439307,amount in rupees crores,
2021-22,2021,August,Mizoram,GST collected from State,CGST,5.8922654,amount in rupees crores,
2021-22,2021,August,Tripura,GST collected from State,CGST,21.140118,amount in rupees crores,
2021-22,2021,August,Meghalaya,GST collected from State,CGST,22.6377473,amount in rupees crores,
2021-22,2021,August,Chandigarh,GST collected from State,IGST,77.5245918,amount in rupees crores,
2021-22,2021,August,Haryana,GST collected from State,IGST,2902.0826619,amount in rupees crores,
2021-22,2021,August,All India,GST collected from State,CGST,20521.4987104,amount in rupees crores,
2021-22,2021,August,Tripura,GST collected from State,CESS,0.1587298,amount in rupees crores,
2021-22,2021,August,Madhya Pradesh,GST collected from State,CESS,461.8717382,amount in rupees crores,
2021-22,2021,August,Chhattisgarh,GST collected from State,CESS,585.4092958,amount in rupees crores,
2021-22,2021,August,Odisha,GST collected from State,CESS,618.9404047,amount in rupees crores,
2021-22,2021,August,Jharkhand,GST collected from State,CESS,384.1431862,amount in rupees crores,
2021-22,2021,August,West Bengal,GST collected from State,CESS,263.3769268,amount in rupees crores,
2021-22,2021,August,Assam,GST collected from State,CESS,31.6320632,amount in rupees crores,
2021-22,2021,August,Meghalaya,GST collected from State,CESS,2.168961,amount in rupees crores,
2021-22,2021,August,Mizoram,GST collected from State,CESS,0.032614,amount in rupees crores,
2021-22,2021,August,Haryana,GST collected from State,CESS,487.2888899,amount in rupees crores,
2021-22,2021,August,Manipur,GST collected from State,CESS,0.0409283,amount in rupees crores,
2021-22,2021,August,Nagaland,GST collected from State,CESS,0.4268125,amount in rupees crores,
2021-22,2021,August,Arunachal Pradesh,GST collected from State,CESS,0.2176297,amount in rupees crores,
2021-22,2021,August,Sikkim,GST collected from State,CESS,0.0320224,amount in rupees crores,
2021-22,2021,August,Bihar,GST collected from State,CESS,125.71946,amount in rupees crores,
2021-22,2021,August,Uttar Pradesh,GST collected from State,CESS,1043.9148405,amount in rupees crores,
2021-22,2021,August,Rajasthan,GST collected from State,CESS,164.4548335,amount in rupees crores,
2021-22,2021,August,Gujarat,GST collected from State,CESS,547.9647341,amount in rupees crores,
2021-22,2021,August,Daman and Diu,GST collected from State,CESS,1.8e-05,amount in rupees crores,
2021-22,2021,August,Dadra and Nagar Haveli,GST collected from State,CESS,0.0998921,amount in rupees crores,
2021-22,2021,August,Maharashtra,GST collected from State,CESS,1017.0893567,amount in rupees crores,
2021-22,2021,August,All India,GST collected from State,IGST,29363.4495354,amount in rupees crores,
2021-22,2021,August,All India,GST collected from State,SGST,26605.1418753,amount in rupees crores,
2021-22,2021,August,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CGST,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2021-22,2021,August,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CESS,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2021-22,2021,August,Other Territory,GST collected from State,CESS,0.0011404,amount in rupees crores,state: Represents territories other than States/UTs
2021-22,2021,August,Ladakh,GST collected from State,CESS,0.0025531,amount in rupees crores,
2021-22,2021,August,Andhra Pradesh,GST collected from State,CESS,140.5704745,amount in rupees crores,
2021-22,2021,August,Telangana,GST collected from State,CESS,505.1991563,amount in rupees crores,
2021-22,2021,August,Andaman and Nicobar Islands,GST collected from State,CESS,0.035413,amount in rupees crores,
2021-22,2021,August,Puducherry,GST collected from State,CESS,0.4517526,amount in rupees crores,
2021-22,2021,August,Tamil Nadu,GST collected from State,CESS,694.3219445,amount in rupees crores,
2021-22,2021,August,Kerala,GST collected from State,CESS,2.7584552,amount in rupees crores,
2021-22,2021,August,Lakshadweep,GST collected from State,CESS,0.0,amount in rupees crores,
2021-22,2021,August,Goa,GST collected from State,CESS,1.1056478,amount in rupees crores,
2021-22,2021,August,Karnataka,GST collected from State,CESS,804.0152263,amount in rupees crores,
2021-22,2021,August,Delhi,GST collected from State,IGST,1926.1921364,amount in rupees crores,
2021-22,2021,August,Delhi,GST collected from State,CESS,81.8900017,amount in rupees crores,
2021-22,2021,August,Uttarakhand,GST collected from State,CESS,6.8440065,amount in rupees crores,
2021-22,2021,August,Tripura,GST collected from State,IGST,6.9566503,amount in rupees crores,
2021-22,2021,August,Chandigarh,GST collected from State,CESS,0.4111586,amount in rupees crores,
2021-22,2021,August,Chhattisgarh,GST collected from State,IGST,812.903238,amount in rupees crores,
2021-22,2021,August,Odisha,GST collected from State,IGST,948.2063157,amount in rupees crores,
2021-22,2021,August,Jharkhand,GST collected from State,IGST,911.7083562,amount in rupees crores,
2021-22,2021,August,West Bengal,GST collected from State,IGST,900.1181911,amount in rupees crores,
2021-22,2021,August,Assam,GST collected from State,IGST,315.810505,amount in rupees crores,
2021-22,2021,August,Meghalaya,GST collected from State,IGST,66.9532118,amount in rupees crores,
2021-22,2021,August,Mizoram,GST collected from State,IGST,1.9727424,amount in rupees crores,
2021-22,2021,August,Daman and Diu,GST collected from State,IGST,0.6453896,amount in rupees crores,
2021-22,2021,August,Manipur,GST collected from State,IGST,5.4326768,amount in rupees crores,
2021-22,2021,August,Nagaland,GST collected from State,IGST,5.3915212,amount in rupees crores,
2021-22,2021,August,Arunachal Pradesh,GST collected from State,IGST,9.8055088,amount in rupees crores,
2021-22,2021,August,Sikkim,GST collected from State,IGST,190.2551379,amount in rupees crores,
2021-22,2021,August,Bihar,GST collected from State,IGST,144.7337873,amount in rupees crores,
2021-22,2021,August,Uttar Pradesh,GST collected from State,IGST,1621.4790322,amount in rupees crores,
2021-22,2021,August,Rajasthan,GST collected from State,IGST,1057.0548378,amount in rupees crores,
2021-22,2021,August,Gujarat,GST collected from State,IGST,2507.4373731,amount in rupees crores,
2021-22,2021,August,Madhya Pradesh,GST collected from State,IGST,630.0130068,amount in rupees crores,
2021-22,2021,August,Dadra and Nagar Haveli,GST collected from State,IGST,184.0424557,amount in rupees crores,
2021-22,2021,August,Telangana,GST collected from State,IGST,1041.7170284,amount in rupees crores,
2021-22,2021,August,Punjab,GST collected from State,CESS,18.2731134,amount in rupees crores,
2021-22,2021,August,Himachal Pradesh,GST collected from State,CESS,0.7894508,amount in rupees crores,
2021-22,2021,August,Jammu and Kashmir,GST collected from State,CESS,8.5678467,amount in rupees crores,
2021-22,2021,August,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,IGST,213.819641,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2021-22,2021,August,Other Territory,GST collected from State,IGST,96.0507069,amount in rupees crores,state: Represents territories other than States/UTs
2021-22,2021,August,Maharashtra,GST collected from State,IGST,4974.4463483,amount in rupees crores,
2021-22,2021,August,Andhra Pradesh,GST collected from State,IGST,956.4799226,amount in rupees crores,
2021-22,2021,August,Ladakh,GST collected from State,IGST,3.569461,amount in rupees crores,
2021-22,2021,August,Andaman and Nicobar Islands,GST collected from State,IGST,1.574202,amount in rupees crores,
2021-22,2021,August,Puducherry,GST collected from State,IGST,107.5045533,amount in rupees crores,
2021-22,2021,August,Tamil Nadu,GST collected from State,IGST,2048.1703002,amount in rupees crores,
2021-22,2021,August,Kerala,GST collected from State,IGST,404.1917749,amount in rupees crores,
2021-22,2021,August,Lakshadweep,GST collected from State,IGST,0.0551395,amount in rupees crores,
2021-22,2021,August,Goa,GST collected from State,IGST,128.2638334,amount in rupees crores,
2021-22,2021,August,Karnataka,GST collected from State,IGST,2551.2647142,amount in rupees crores,
2021-22,2021,August,Uttar Pradesh,GST collected from State,CGST,1377.1908655,amount in rupees crores,
2021-22,2021,July,All India,GST collected from State,SGST,28541.2396343,amount in rupees crores,
2021-22,2021,July,All India,GST collected from State,IGST,29964.0914524,amount in rupees crores,
2021-22,2021,July,All India,GST collected from State,CGST,22197.2994387,amount in rupees crores,
2021-22,2021,July,All India,GST collected from State,CESS,6975.2345205,amount in rupees crores,
2021-22,2021,July,Uttarakhand,GST collected from State,IGST,558.2692189,amount in rupees crores,
2021-22,2021,July,Uttar Pradesh,GST collected from State,CGST,1414.2210245,amount in rupees crores,
2021-22,2021,July,Andaman and Nicobar Islands,GST collected from State,SGST,10.0859678,amount in rupees crores,
2021-22,2021,July,Tripura,GST collected from State,IGST,7.5783386,amount in rupees crores,
2021-22,2021,July,Meghalaya,GST collected from State,IGST,70.1006494,amount in rupees crores,
2021-22,2021,July,Assam,GST collected from State,IGST,225.6934866,amount in rupees crores,
2021-22,2021,July,West Bengal,GST collected from State,IGST,924.3682058,amount in rupees crores,
2021-22,2021,July,Jharkhand,GST collected from State,IGST,792.8687121,amount in rupees crores,
2021-22,2021,July,Odisha,GST collected from State,IGST,1028.1610472,amount in rupees crores,
2021-22,2021,July,Chhattisgarh,GST collected from State,IGST,772.1266747,amount in rupees crores,
2021-22,2021,July,Madhya Pradesh,GST collected from State,IGST,672.6844017,amount in rupees crores,
2021-22,2021,July,Gujarat,GST collected from State,IGST,2310.170482,amount in rupees crores,
2021-22,2021,July,Daman and Diu,GST collected from State,IGST,0.0538831,amount in rupees crores,
2021-22,2021,July,Dadra and Nagar Haveli,GST collected from State,IGST,151.5118721,amount in rupees crores,
2021-22,2021,July,Maharashtra,GST collected from State,IGST,6605.4719322,amount in rupees crores,
2021-22,2021,July,Karnataka,GST collected from State,IGST,2393.735313,amount in rupees crores,
2021-22,2021,July,Goa,GST collected from State,IGST,120.6954027,amount in rupees crores,
2021-22,2021,July,Lakshadweep,GST collected from State,IGST,0.026311,amount in rupees crores,
2021-22,2021,July,Mizoram,GST collected from State,IGST,2.6355256,amount in rupees crores,
2021-22,2021,July,Manipur,GST collected from State,IGST,3.1859331,amount in rupees crores,
2021-22,2021,July,Nagaland,GST collected from State,IGST,6.1980135,amount in rupees crores,
2021-22,2021,July,Punjab,GST collected from State,IGST,516.7285779,amount in rupees crores,
2021-22,2021,July,Andhra Pradesh,GST collected from State,SGST,927.7718759,amount in rupees crores,
2021-22,2021,July,Ladakh,GST collected from State,SGST,6.0751404,amount in rupees crores,
2021-22,2021,July,Other Territory,GST collected from State,SGST,9.076433,amount in rupees crores,state: Represents territories other than States/UTs
2021-22,2021,July,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,SGST,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2021-22,2021,July,Jammu and Kashmir,GST collected from State,IGST,129.403881,amount in rupees crores,
2021-22,2021,July,Himachal Pradesh,GST collected from State,IGST,360.3756658,amount in rupees crores,
2021-22,2021,July,Chandigarh,GST collected from State,IGST,95.9209153,amount in rupees crores,
2021-22,2021,July,Arunachal Pradesh,GST collected from State,IGST,8.0611235,amount in rupees crores,
2021-22,2021,July,Haryana,GST collected from State,IGST,2700.656903,amount in rupees crores,
2021-22,2021,July,Delhi,GST collected from State,IGST,2040.366482,amount in rupees crores,
2021-22,2021,July,Rajasthan,GST collected from State,IGST,1006.6683381,amount in rupees crores,
2021-22,2021,July,Uttar Pradesh,GST collected from State,IGST,1565.3036746,amount in rupees crores,
2021-22,2021,July,Bihar,GST collected from State,IGST,149.3358793,amount in rupees crores,
2021-22,2021,July,Sikkim,GST collected from State,IGST,158.001789,amount in rupees crores,
2021-22,2021,July,Kerala,GST collected from State,IGST,399.1036149,amount in rupees crores,
2021-22,2021,July,Tamil Nadu,GST collected from State,IGST,1764.3772899,amount in rupees crores,
2021-22,2021,July,Puducherry,GST collected from State,IGST,76.6713574,amount in rupees crores,
2021-22,2021,July,Jharkhand,GST collected from State,CESS,415.9175798,amount in rupees crores,
2021-22,2021,July,Manipur,GST collected from State,CESS,0.2666805,amount in rupees crores,
2021-22,2021,July,Mizoram,GST collected from State,CESS,0.0316353,amount in rupees crores,
2021-22,2021,July,Tripura,GST collected from State,CESS,0.4288429,amount in rupees crores,
2021-22,2021,July,Meghalaya,GST collected from State,CESS,0.1184172,amount in rupees crores,
2021-22,2021,July,Assam,GST collected from State,CESS,19.2561915,amount in rupees crores,
2021-22,2021,July,West Bengal,GST collected from State,CESS,130.7715403,amount in rupees crores,
